Limit,Gender,MaritalStatus,Age,Late1,Late2,Late3,Default
20,2,1,24,1,1,0,1
120,2,2,26,0,1,0,1
90,2,2,34,0,0,0,0
50,2,1,37,0,0,0,0
50,1,1,57,0,0,0,0
50,1,2,37,0,0,0,0
500,1,2,29,0,0,0,0
100,2,2,23,0,0,0,0
140,2,1,28,0,0,1,0
20,1,2,35,0,0,0,0
200,2,2,34,0,0,1,0
260,2,2,51,0,0,0,0
630,2,2,41,0,0,0,0
70,1,2,30,1,1,1,1
250,1,2,29,0,0,0,0
50,2,2,23,1,1,0,0
20,1,2,24,0,0,1,1
320,1,1,49,0,0,0,0
360,2,1,49,1,0,0,0
180,2,2,29,1,0,0,0
130,2,2,39,0,0,0,0
120,2,1,39,0,0,0,1
70,2,2,26,1,0,0,1
450,2,1,40,0,0,0,1
90,1,2,23,0,0,0,0
50,1,2,23,0,0,0,0
60,1,2,27,1,0,0,1
50,2,2,30,0,0,0,0
50,2,1,47,0,0,0,0
50,1,2,26,0,0,0,0
230,2,2,27,0,0,0,0
50,1,2,33,1,0,0,1
100,1,2,32,0,0,0,0
500,2,1,54,0,0,0,0
500,1,1,58,0,0,0,0
160,1,2,30,0,0,0,0
280,1,1,40,0,0,0,0
60,2,2,22,0,0,0,0
50,1,2,25,1,0,0,1
280,1,2,31,0,0,1,0
360,1,2,33,0,0,0,0
70,2,2,25,0,0,0,0
10,1,2,22,0,0,0,0
140,2,1,37,0,0,0,0
40,2,2,30,0,0,0,0
210,1,2,29,0,0,0,1
20,2,2,22,0,0,1,1
380,1,2,32,0,0,0,0
20,1,2,24,0,0,0,0
70,1,2,42,1,1,1,1
100,2,2,43,0,0,0,0
310,2,1,49,0,0,0,0
180,2,2,25,1,1,0,0
150,2,2,29,1,0,0,0
500,2,1,45,0,0,0,0
180,2,1,34,0,0,0,0
180,2,1,34,0,0,0,0
200,2,2,34,0,1,1,0
400,2,1,29,0,0,0,0
500,2,1,28,0,0,0,1
70,1,1,39,0,0,0,0
50,1,2,29,1,1,1,1
50,2,1,46,0,0,0,1
130,2,1,51,0,0,0,0
200,1,1,57,0,0,0,1
10,1,1,56,1,1,1,1
210,2,2,30,1,0,0,0
130,2,2,29,1,0,0,0
80,1,2,31,0,0,0,0
320,1,2,29,1,1,1,1
200,2,1,32,0,0,0,0
290,2,2,37,1,0,0,0
340,1,2,32,0,0,0,0
20,1,2,24,0,0,1,0
50,1,2,25,0,0,0,0
300,2,1,45,0,0,0,0
30,2,2,22,0,0,0,1
240,2,2,44,1,0,0,1
470,2,2,33,0,0,0,0
360,2,2,26,0,0,0,0
60,1,2,30,0,0,0,1
400,2,1,44,0,0,1,0
50,2,2,49,0,0,0,0
160,1,2,33,0,0,0,0
360,2,1,45,0,0,1,1
160,2,2,32,0,0,0,0
130,2,1,35,0,0,0,0
20,1,2,44,1,1,0,0
200,1,1,53,1,1,1,1
280,2,2,39,0,0,0,0
100,2,2,27,0,0,0,0
160,2,1,37,0,0,0,0
60,2,2,23,0,0,0,0
90,1,2,35,0,0,0,0
360,1,1,43,0,0,0,0
150,1,2,27,0,0,0,0
50,2,1,22,0,0,0,0
20,1,1,38,0,0,0,1
140,1,2,32,0,0,0,0
380,2,2,30,0,0,0,0
480,1,1,63,0,0,0,0
50,2,2,22,0,0,0,1
60,2,2,26,1,1,1,0
70,2,2,24,0,0,0,0
80,2,1,36,0,0,0,0
350,1,2,52,0,0,0,0
130,1,2,38,0,0,0,0
360,1,1,35,1,0,0,0
330,2,1,31,0,0,1,0
50,1,1,47,0,0,1,0
280,1,1,41,1,1,1,0
100,2,2,24,0,0,0,0
50,1,2,41,0,0,0,0
30,1,2,24,0,1,0,1
240,1,2,28,0,0,0,0
80,1,2,26,1,0,0,1
400,1,1,34,0,0,0,0
240,2,2,38,0,0,0,0
50,1,2,37,1,1,1,1
450,1,1,40,1,0,0,1
110,2,1,48,1,0,0,0
310,2,1,35,1,0,0,1
20,1,2,27,0,0,0,0
20,1,2,23,1,0,0,0
200,1,2,52,0,0,0,0
180,1,1,36,0,0,0,1
50,1,1,51,0,0,0,1
60,1,1,55,1,1,1,0
30,2,2,23,1,0,0,0
240,1,2,41,1,0,0,0
420,1,1,34,0,0,0,0
330,1,1,46,0,0,0,0
30,2,2,22,0,0,0,0
240,1,1,34,0,0,0,0
150,1,2,27,0,0,0,0
210,2,1,33,0,0,0,0
50,2,1,51,0,0,0,1
50,1,2,24,0,0,0,0
240,1,2,47,1,0,0,1
180,1,2,28,0,0,0,0
50,1,2,23,1,1,1,0
170,1,2,29,0,0,0,0
20,1,2,29,0,0,0,0
50,1,2,28,0,0,0,0
170,2,2,27,0,0,0,1
200,1,2,34,1,1,0,0
80,2,1,23,1,1,1,0
260,2,1,60,1,0,0,0
140,1,1,32,0,0,0,0
80,1,2,25,0,0,0,0
350,1,2,41,1,0,0,0
280,2,1,56,0,0,0,0
30,2,2,26,0,0,0,0
140,1,1,34,0,0,0,0
200,2,2,37,0,0,0,0
200,2,2,30,0,0,0,0
210,1,1,45,1,1,1,1
50,1,1,57,1,1,0,0
30,1,2,41,1,1,1,0
50,1,2,27,1,0,0,0
290,1,1,47,0,0,0,0
250,2,1,34,0,0,1,0
60,2,1,46,0,0,0,0
110,2,2,27,0,0,0,0
370,1,2,50,0,0,0,0
100,1,1,27,0,1,1,0
90,2,1,35,0,0,0,0
50,2,2,22,0,0,0,0
270,1,2,37,0,0,0,0
300,2,2,30,0,0,0,0
50,2,2,22,0,0,0,0
50,2,2,24,1,0,0,1
360,1,2,29,1,0,0,0
130,1,1,56,1,1,1,1
80,1,2,30,0,0,0,0
50,1,2,30,1,1,0,0
20,2,2,22,0,0,0,0
80,2,1,29,0,0,1,0
240,1,2,37,0,0,1,0
80,2,2,35,0,0,0,0
500,2,1,47,0,0,0,0
60,2,1,24,0,0,0,1
20,1,2,25,0,0,0,0
100,2,1,38,1,1,0,1
360,2,2,32,1,0,0,0
200,2,2,47,1,1,1,1
130,2,1,34,1,0,0,0
20,2,2,31,1,1,1,0
310,1,2,32,0,0,0,0
60,2,2,27,1,0,0,1
180,2,2,29,0,0,0,0
180,2,2,24,0,0,1,0
50,1,1,36,0,0,0,0
50,2,2,24,1,1,1,1
150,2,1,34,0,0,0,0
20,2,2,22,0,0,0,0
500,2,1,34,0,0,0,0
30,2,2,22,1,1,1,1
180,2,1,38,0,0,0,0
140,1,2,31,0,0,1,0
140,2,2,26,0,0,0,0
120,1,2,26,0,0,0,0
360,2,1,48,0,0,0,0
20,1,1,43,0,0,0,0
100,1,1,47,0,0,0,0
210,2,1,41,0,0,0,1
80,2,2,24,0,0,0,1
330,2,1,50,0,0,0,0
