column,type,label
state_fips,text,State FIPS code
state_usps,text,State USPS code
state_name,text,State name
county_fips,text,County FIPS code
county_name,text,County name
group,text,Racial/ethnic group
year,integer,Year of observation
pop,integer,"Child population count, ages 0-17"
r_COI_nat,double,"Average population-weighted census tract Child Opportunity Scores, Child Opportunity Index, nationally normed"
r_COI_stt,double,"Average population-weighted census tract Child Opportunity Scores, Child Opportunity Index, state normed"
r_ED_nat,double,"Average population-weighted census tract Child Opportunity Scores, education domain, nationally normed"
r_ED_stt,double,"Average population-weighted census tract Child Opportunity Scores, education domain, state normed"
r_HE_nat,double,"Average population-weighted census tract Child Opportunity Scores, health and environment domain, nationally normed"
r_HE_stt,double,"Average population-weighted census tract Child Opportunity Scores, health and environment domain, state normed"
r_SE_nat,double,"Average population-weighted census tract Child Opportunity Scores, social and economic domain, nationally normed"
r_SE_stt,double,"Average population-weighted census tract Child Opportunity Scores, social and economic domain, state normed"
r_ED_EC_nat,double,"Average population-weighted census tract Child Opportunity Scores, early childhood education subdomain, nationally normed"
r_ED_EC_stt,double,"Average population-weighted census tract Child Opportunity Scores, early childhood education subdomain, state normed"
r_ED_EL_nat,double,"Average population-weighted census tract Child Opportunity Scores, elementary education subdomain, nationally normed"
r_ED_EL_stt,double,"Average population-weighted census tract Child Opportunity Scores, elementary education subdomain, state normed"
r_ED_ER_nat,double,"Average population-weighted census tract Child Opportunity Scores, educational resources subdomain, nationally normed"
r_ED_ER_stt,double,"Average population-weighted census tract Child Opportunity Scores, educational resources subdomain, state normed"
r_ED_SP_nat,double,"Average population-weighted census tract Child Opportunity Scores, secondary and post-secondary education subdomain, nationally normed"
r_ED_SP_stt,double,"Average population-weighted census tract Child Opportunity Scores, secondary and post-secondary education subdomain, state normed"
r_HE_EP_nat,double,"Average population-weighted census tract Child Opportunity Scores, pollution subdomain, nationally normed"
r_HE_EP_stt,double,"Average population-weighted census tract Child Opportunity Scores, pollution subdomain, state normed"
r_HE_HR_nat,double,"Average population-weighted census tract Child Opportunity Scores, health resources subdomain, nationally normed"
r_HE_HR_stt,double,"Average population-weighted census tract Child Opportunity Scores, health resources subdomain, state normed"
r_HE_SE_nat,double,"Average population-weighted census tract Child Opportunity Scores, safety-related resources subdomain, nationally normed"
r_HE_SE_stt,double,"Average population-weighted census tract Child Opportunity Scores, safety-related resources subdomain, state normed"
r_HE_HE_nat,double,"Average population-weighted census tract Child Opportunity Scores, healthy environments subdomain, nationally normed"
r_HE_HE_stt,double,"Average population-weighted census tract Child Opportunity Scores, healthy environments subdomain, state normed"
r_SE_EI_nat,double,"Average population-weighted census tract Child Opportunity Scores, concentrated socio-economic inequity subdomain, nationally normed"
r_SE_EI_stt,double,"Average population-weighted census tract Child Opportunity Scores, concentrated socio-economic inequity subdomain, state normed"
r_SE_EO_nat,double,"Average population-weighted census tract Child Opportunity Scores, employment subdomain, nationally normed"
r_SE_EO_stt,double,"Average population-weighted census tract Child Opportunity Scores, employment subdomain, state normed"
r_SE_ER_nat,double,"Average population-weighted census tract Child Opportunity Scores, economic resources subdomain, nationally normed"
r_SE_ER_stt,double,"Average population-weighted census tract Child Opportunity Scores, economic resources subdomain, state normed"
r_SE_HQ_nat,double,"Average population-weighted census tract Child Opportunity Scores, housing resources subdomain, nationally normed"
r_SE_HQ_stt,double,"Average population-weighted census tract Child Opportunity Scores, housing resources subdomain, state normed"
r_SE_SR_nat,double,"Average population-weighted census tract Child Opportunity Scores, social resources subdomain, nationally normed"
r_SE_SR_stt,double,"Average population-weighted census tract Child Opportunity Scores, social resources subdomain, state normed"
r_SE_WL_nat,double,"Average population-weighted census tract Child Opportunity Scores, wealth subdomain, nationally normed"
r_SE_WL_stt,double,"Average population-weighted census tract Child Opportunity Scores, wealth subdomain, state normed"
